id,term,categories,notable_names,parent_id,sibling_id_1,sibling_id_2,sibling_id_3,appeared_year,peak_hypecycle_year,vanished_year,approved,source_title_1,source_url_1,source_doi_1,source_title_2,source_url_2,source_doi_2
C3E072AD,(Anglo-)American,Geographical Reference,,,,,,,,,,,,,,,
ED223F2C,3D,Technology,,,,,,,,,,,,,,,
769B7E80,Access,,,,,,,,,,,,,,,,
621FA29C,Activist,Purpose of Reporting,,,,,,,,,,,,,,,
361AAD0A,Advocacy,Purpose of Reporting,,,,,,,,,,,,,,,
7541C8C4,Algorithmic,"Technology, Automated Production",,,,,,,,,,,,,,,
60466879,Alternative,"Journalistic Approach, Political Stance",,,,,,,,,,,,,,,
2FE5E03D,Ambient,Technology,,,,,,,,,,,,,,,
A074CB22,Augmented,Technology,,,,,,,,,,,,,,,
2105675F,Automated,"Technology, Automated Production",,,,,,,,,,,,,,,
0FB4B4A2,Branded,Subject-Proximity,,,,,,,,,,,,,,,
7E4649C3,Breaking news,Events-specific,,,,,,,,,,,,,,,
4509E3F1,Broadcast,Social Media,,,,,,,,,,,,,,,
D12F776C,Broadsheet,Alleged Quality,,,,,,,,,,,,,,,
C55B4CB9,Business,Subject,,,,,,,,,,,,,,,
9E5408E2,Checkbook,Alleged Quality,,,,,,,,,,,,,,,
12C84520,Celebrity,Subject,,,,,,,,,,,,,,,
E1341E73,Churnalism,Alleged Quality,Waseem Zakir,,,,,2015,,,,,,,,,
C57A3444,Citizen,Openness of Production,,,,,,,,,,,,,,,
EB8B2BB0,Civic,Openness of Production,,,,,,,,,,,,,,,
0A71EAF3,Coded,"Technology, Quantified",,,,,,,,,,,,,,,
87CBAB7D,Collaborative,"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
86357720,Commentary,Purpose of Reporting,,,,,,,,,,,,,,,
8195826B,Community,"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
24F32ED9,Computational,"Technology, Automated Production",,,,,,,,,,,,,,,
955A8FCA,Confessional,"Journalistic Approach, Political Stance",,,,,,,,,,,,,,,
036DC341,Confessions,,,,,,,,,,,,,,,,
D961A941,Constructive,"Goal/Motivation, Purpose of Reporting",,,,,,,,,,,,,,,
529F5562,Convergence/Convergent,Technology,,,,,,,,,,,,,,,
1A0F409D,Conversational,"Audience-Relationship, Dialogical Openness",,,,,,,,,,,,,,,
7376A787,Corporate Sports,,,,,,,,,,,,,,,,
B5DEE317,Cozy,"Goal/Motivation, Purpose of Reporting",,,,,,,,,,,,,,,
92AEBA3E,Creative,,,,,,,,,,,,,,,,
04780AAE,Crowdfunded,Organization,,,,,,,,,,,,,,,
1BF26ABB,Crowdsourced,"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
7BFBEEF4,Crusading/-er,Purpose of Reporting,,,,,,,,,,,,,,,
A482E69A,Cultural,Subject,,,,,,,,,,,,,,,
EF514FE3,Data-driven,"Technology, Quantified",,,,,,,,,,,,,,,
B9B109E7,Datafied,"Technology, Quantified",,,,,,,,,,,,,,,
F30E6B6F,Dialogue(-oriented),"Audience-Relationship, Dialogical Openness",,,,,,,,,,,,,,,
EBE6F87C,Digital,Social Media,,,,,,,,,,,,,,,
B3F09059,Discursive,"Audience-Relationship, Dialogical Openness",,,,,,,,,,,,,,,
AD008967,Drone,"Technology, Medium",,,,,,,,,,,,,,,
04D40840,Embedded,Subject-Proximity,,,,,,,,,,,,,,,
2D865852,End-user,Audience-Relationship,,,,,,,,,,,,,,,
CA164519,Engagement/engaged,"Audience-Relationship, Openness of Production, Purpose of Reporting",,,,,,,,,,,,,,,
69489009,Entertainment,Purpose of Reporting,,,,,,,,,,,,,,,
08778AF4,Entrepreneurial,Organization,,,,,,,,,,,,,,,
7613C08D,Esports,"Technology, Subject","Gotfrag, HLTV",,,,,1990,2018,,,,,,,,
0D308A5A,European,Geographical Reference,,,,,,,,,,,,,,,
E80B5877,Facebook,"Technology, Social Media",,,,,,,,,,,,,,,
67439DA0,Fashion,Subject,,,,,,,,,,,,,,,
93DA92A6,First-Person,Subject,,,,,,,,,,,,,,,
B6589AC7,Freelance,Organisation,,,,,,,,,,,,,,,
08A5ED7F,Global,Geographical Reference,,,,,,,,,,,,,,,
D4ED74DB,Gonzo,Goal/Motivation,"Hunter S. Thompson, Tom Kummer",,,,,1970,1970,,,,,,,,
07B47ED4,Gotcha,,,,,,,1980,,,,,,,,,
3995191C,Grassroots,Openness of Production,,,,,,,,,,,,,,,
D769B9F7,Green,"Goal/Motivation, Purpose of Reporting, Subject",,,,,,,,,,,,,,,
E8A14131,Hacker,"Technology, Quantified",,,,,,,,,,,,,,,
379D7A35,Health,Subject,,,,,,,,,,,,,,,
3C2B2B73,Hyperlocal,"Audience-Relationship, Geographical Reference",,,,,,,,,,,,,,,
AFE966B3,Immersion,,,,,,,,,,,,,,,,
9F3A703C,Immersive,Technology,,,,,,,,,,,,,,,
FA6004A1,Innovation,Automated Production,,,,,,,,,,,,,,,
0908647C,Instagram,"Technology, Social Media",,,,,,,,,,,,,,,
0F9308C5,Interactive,"Audience-Relationship, Openness of Production",,,,,,,,,,,,,,,
3251C0F0,Internet,Social Media,,,,,,,,,,,,,,,
4913C0AA,Interpretive/analytical,Purpose of Reporting,,,,,,,,,,,,,,,
BF8F7FB0,Investigative,Purpose of Reporting,,,,,,,,,,,,,,,
B6F1A167,iPad,"Technology, Medium",,,,,,,,,,,,,,,
BB0B25A5,Lay,Audience-Relationship,,,,,,,,,,,,,,,
006858A6,Lifestyle,Subject,,,,,,,,,,,,,,,
F851EAF2,Liquid,"Technology, Product-Orientation",,,,,,,,,,,,,,,
692FEA14,Literary,Textual Narration,,,,,,,,,,,,,,,
4ACD761C,Livestream,"Technology, Event-specific",,,,,,,,,,,,,,,
20F6B5CF,Local,Geographical Reference,,,,,,,,,,,,,,,
C28020A1,Longform,"Goal/Motivation, Textual Narration, Length/Depth",,,,,,,,,,,,,,,
32B6751C,Low-pay,Organization,,,,,,,,,,,,,,,
7F4DF2AF,Magazine,Social Media,,,,,,,,,,,,,,,
EB1286CD,Mainstream,"Journalistic Approach, Political Stance",,,,,,,,,,,,,,,
